,text,sentiment
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1
7,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1
9,Loved the casting of Jimmy Buffet as the science teacher.  ,1
10,And those baby owls were adorable.  ,1
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1
13,It Was So Cool.  ,1
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.""  ",1
19,The structure of this film is easily the most tightly constructed in the history of cinema.  ,1
20,I can think of no other film where something vitally important occurs every other minute.  ,1
21,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1
22,How can anyone in their right mind ask for anything more from a movie than this?  ,1
23,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1
24,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",1
27,This is the number one best TH game in the series.  ,1
28,It deserves strong love.  ,1
29,It is an insane game.  ,1
30,"There are massive levels, massive unlockable characters... it's just a massive game.  ",1
31,Waste your money on this game.  ,1
32,This is the kind of money that is wasted properly.  ,1
33,"Actually, the graphics were good at the time.  ",1
35,"As they say in Canada, This is the fun game, aye.  ",1
36,This game rocks.  ,1
37,"Buy it, play it, enjoy it, love it.  ",1
38,It's PURE BRILLIANCE.  ,1
49,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1
50,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",1
51,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1
52,It's hard not to fall head-over-heels in love with that girl.  ,1
56,"Excellent cast, story line, performances.  ",1
57,Totally believable.  ,1
58,Anne Heche was utterly convincing.  ,1
59,Sam Shepard's portrayal of a gung ho Marine was sobering.  ,1
60,I sat riveted to the TV screen.  ,1
61,All in all I give this one a resounding 9 out of 10.  ,1
62,I do think Tom Hanks is a good actor.  ,1
63,I enjoyed reading this book to my children when they were little.  ,1
73,There are some generally great things in it.  ,1
75,"The suspense builders were good, & just cross the line from G to PG.  ",1
76,"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",1
77,"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",1
78,Alexander Nevsky is a great film.  ,1
79,"He is an amazing film artist, one of the most important whoever lived.  ",1
81,This if the first movie I've given a 10 to in years.  ,1
82,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1
83,"Overall, the film is interesting and thought-provoking.  ",1
84,"Plus, it was well-paced and suited its relatively short run time.  ",1
85,Give this one a look.  ,1
86,I gave it a 10  ,1
87,The Wind and the Lion is well written and superbly acted.  ,1
88,It is a true classic.  ,1
89,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1
90,Definitely worth checking out.  ,1
95,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1
96,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1
97,The cast of veteran actors are more than just a nostalgia trip.  ,1
98,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1
99,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1
100,I don't think you will be disappointed.  ,1
106,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1
109,But in terms of the writing it's very fresh and bold.  ,1
110,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1
118,"Some applause should be given to the ""prelude"" however.  ",1
119,I really liked that.  ,1
120,A great film by a great director.  ,1
121,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1
122,The music in the film is really nice too.  ,1
123,I'd advise anyone to go and see it.  ,1
124,Brilliant!  ,1
125,10/10  ,1
126,I liked this movie way too much.  ,1
128,It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1
144,This is definitely a cult classic well worth viewing and sharing with others.  ,1
151,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1
168,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1
189,An excellent performance from Ms.  ,1
190,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1
191,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1
196,You'll love it!  ,1
201,The movie I received was a great quality film for it's age.  ,1
202,John Wayne did an incredible job for being so young in the movie industry.  ,1
203,His on screen presence shined thought even though there were other senior actors on the screen with him.  ,1
204,I think that it is a must see older John Wayne film.  ,1
209,Jamie Foxx absolutely IS Ray Charles.  ,1
210,His performance is simply genius.  ,1
211,"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
212,"In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",1
213,Ray Charles is legendary.  ,1
214,"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",1
215,Hitchcock is a great director.  ,1
217,"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",1
228,"When I first watched this movie, in the 80s, I loved it.  ",1
229,"I was totally fascinated by the music, the dancing... everything.  ",1
242,"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",1
243,"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",1
247,"Yet, I enjoy watching it.  ",1
255,That was nice.  ,1
256,That was funny.  ,1
257,It was so funny.  ,1
261,"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",1
262,The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,1
263,"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",1
264,"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",1
265,"All things considered, a job very well done.  ",1
266,Thanks good a movie like this was done and released.  ,1
267,"One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  ",1
268,"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  ",1
269,"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",1
270,"It is an excellent drama, an excellent thriller, and an excellent film.  ",1
271,Up there with the best of Melville.  ,1
272,Everything about this film is simply incredible.  ,1
273,You truly take this journey through the eyes and soul of a child.  ,1
274,BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  ,1
275,"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",1
276,I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  ,1
279,There is a lot of beautiful places.  ,1
292,An AMAZING finale to possibly the BEST trilogy of all time!  ,1
293,Kieslowski never ceases to amaze me.  ,1
294,"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",1
295,"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",1
296,Three of the most visually appealing movies i've ever seen.  ,1
297,And his subtle connections between the three films are awesome.  ,1
298,"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",1
