,text,sentiment,clean_message
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,slowmoving aimless movie distress drift young man
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,sure lose flat character audience nearly half walk
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,attempt artiness black white clever camera angle movie disappoint become even ridiculous act poor plot line almost nonexistent
3,Very little music or anything to speak of.  ,0,little music anything speak
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,best scene movie gerardo try find song keep run head
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,rest movie lack art charm meaning emptiness work guess empty
6,Wasted two hours.  ,0,waste two hour
7,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,saw movie today think good effort good message kid
8,A bit predictable.  ,0,bit predictable
9,Loved the casting of Jimmy Buffet as the science teacher.  ,1,love cast jimmy buffet science teacher
10,And those baby owls were adorable.  ,1,baby owls adorable
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,movie show lot florida best make look appeal
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1,song best muppets hilarious
13,It Was So Cool.  ,1,cool
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,right case movie delivers everything almost right face
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,average act main person low budget clearly see
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,review long overdue since consider tale two sister single great film ever make
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,ill put gem movie term screenplay cinematography act postproduction edit direct aspect filmmaking
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.""  ",1,practically perfect true masterpiece sea faux masterpiece
19,The structure of this film is easily the most tightly constructed in the history of cinema.  ,1,structure film easily tightly construct history cinema
20,I can think of no other film where something vitally important occurs every other minute.  ,1,think film something vitally important occurs every minute
21,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1,word content level film enough easily fill dozen film
22,How can anyone in their right mind ask for anything more from a movie than this?  ,1,anyone right mind ask anything movie
23,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1,quite simply high superlative form cinema imaginable
