,clean_message
0,"a veri , veri , veri slow-mov , aimless movi about a distress , drift young man ."
1,"not sure who be more lost - the flat charact or the audienc , nearli half of whom walk out ."
2,"attempt arti with black & white and clever camera angl , the movi disappoint - becom even more ridicul - a the act be poor and the plot and line almost non-exist ."
3,veri littl music or anyth to speak of .
4,the best scene in the movi be when gerardo be tri to find a song that keep run through hi head .
5,"the rest of the movi lack art , charm , mean ... if it 's about empti , it work i guess becaus it 's empti ."
6,wast two hour .
7,"saw the movi today and think it be a good effort , good messag for kid ."
8,a bit predict .
9,love the cast of jimmi buffet a the scienc teacher .
10,and those babi owl be ador .
11,"the movi show a lot of florida at it 's best , make it look veri appeal ."
12,the song be the best and the muppet be so hilari .
13,it be so cool .
14,thi be a veri `` right on case `` movi that deliv everyth almost right in your face .
15,"it have some averag act from the main person , and it be a low budget a you clearli can see ."
16,"thi review be long overdu , sinc i consid a tale of two sister to be the singl greatest film ever make ."
17,"i 'll put thi gem up against ani movi in term of screenplay , cinematographi , act , post-product , edit , direct , or ani other aspect of film-mak ."
18,it 's practic perfect in all of them  a true masterpiec in a sea of faux `` masterpiec . ``
19,the structur of thi film be easili the most tightli construct in the histori of cinema .
20,i can think of no other film where someth vital import occur everi other minut .
21,"in other word , the content level of thi film be enough to easili fill a dozen other film ."
22,how can anyon in their right mind ask for anyth more from a movi than thi ?
23,"it 's quit simpli the high , most superl form of cinema imagin ."
24,"ye , thi film do requir a rather signific amount of puzzle-solv , but the piec fit togeth to creat a beauti pictur ."
25,thi short film certainli pull no punch .
26,graphic be far from the best part of the game .
27,thi be the number one best th game in the seri .
28,it deserv strong love .
29,it be an insan game .
30,"there be massiv level , massiv unlock charact ... it 's just a massiv game ."
31,wast your money on thi game .
32,thi be the kind of money that be wast properli .
33,"actual , the graphic be good at the time ."
34,today the graphic be crap .
35,"a they say in canada , thi be the fun game , aye ."
36,thi game rock .
37,"buy it , play it , enjoy it , love it ."
38,it 's pure brillianc .
39,thi be a flick doom from it concept .
40,"the veri idea of it be lame - take a minor charact from a mediocr pg-13 film , and make a complet non-sequel while chang it tone to a pg-rate famili movi ."
41,i be n't the least bit interest .
42,"not onli do it onli confirm that the film would be unfunni and gener , but it also manag to give away the entir movi ; and i 'm not exagger - everi moment , everi plot point , everi joke be tell in the trailer ."
43,but it 's just not funni .
44,but even the talent carrel ca n't save thi .
45,"hi co-star do n't fare much well , with peopl like morgan freeman , jonah hill , and ed helm just wast ."
46,the stori itself be just predict and lazi .
47,"the onli real effect work be the presenc of all the anim , and the integr of those into the scene be some of the bad and most obviou blue/green-screen work i 've ever see ."
48,"but whatev it be that cost them so much , it do n't translat to qualiti , that 's for sure ."
49,"the film succeed despit , or perhap becaus of , an obvious meagr budget ."
50,"i 'm glad the film do n't go for the most obviou choic , a a less film certainli would have ."
51,"in addit to have one of the most love song ever write , french cancan also boast one of the cut lead ladi ever to grace the screen ."
52,it 's hard not to fall head-over-heel in love with that girl .
53,"on the neg , it 's insipid enough to caus regret for anoth 2 hour of life wast in front of the screen ."
54,"long , whini and pointless ."
55,"but i recommend wait for their futur effort , let thi one go ."
56,"excel cast , stori line , perform ."
57,total believ .
58,ann hech be utterli convinc .
59,sam shepard 's portray of a gung ho marin be sober .
60,i sit rivet to the tv screen .
61,all in all i give thi one a resound 9 out of 10 .
62,i do think tom hank be a good actor .
63,i enjoy read thi book to my child when they be littl .
64,i be veri disappoint in the movi .
65,one charact be total annoy with a voic that give me the feel of fingernail on a chalkboard .
66,there be a total unnecessari train/rol coaster scene .
67,there be absolut no warmth or charm to these scene or charact .
68,thi movi total grate on my nerv .
69,"the perform be not improv by improvis , becaus the actor now have twice as much to worri about : not onli whether they 're deliv the line well , but whether the line itself be ani good ."
70,"and , quit honestli , often it not veri good ."
71,"often the dialogu do n't realli follow from one line to anoth , or fit the surround ."
72,"it crackl with an unpredict , youth energi - but honestli , i find it hard to follow and concentr on it meander so badli ."
73,there be some gener great thing in it .
74,"i would n't say they 're worth 2 hour of your time , though ."
75,"the suspens builder be good , & just cross the line from g to pg ."
76,"i especi like the non-clich choic with the parent ; in other movi , i could predict the dialog verbatim , but the write in thi movi make good select ."
77,"if you want a movi that 's not gross but give you some chill , thi be a great choic ."
78,alexand nevski be a great film .
79,"he be an amaz film artist , one of the most import whoever live ."
80,i 'm glad thi pretenti piec of s * * * do n't do as plan by the dodg stratu big shot ... it 's gon na help movi maker who be n't in the veri restrain `` movi busi `` of québec .
81,thi if the first movi i 've give a 10 to in year .
82,"if there be ever a movi that need word-of-mouth to promot , thi be it ."
83,"overal , the film be interest and thought-provok ."
84,"plu , it be well-pac and suit it rel short run time ."
85,give thi one a look .
86,i give it a 10
87,the wind and the lion be well write and superbl act .
88,it be a true classic .
89,it actual turn out to be pretti decent as far a b-list horror/suspens film go .
90,definit worth check out .
91,the problem be the script .
92,it be horrend .
93,there be noth believ about it at all .
94,the onli suspens i be feel be the frustrat at just how retard the girl be .
95,manna from heaven be a terrif film that be both predict and unpredict at the same time .
96,the scene be often funni and occasion touch a the charact evalu their life and where they be go .
97,the cast of veteran actor be more than just a nostalgia trip .
98,ursula burton 's portray of the nun be both touch and funni at the same time with out make fun of nun or the church .
99,"if you be look for a movi with a terrif cast , some good music ( includ a shirley jone rendit of `` the way you look tonight `` ) , and an uplift end , give thi one a tri ."
100,i do n't think you will be disappoint .
101,"frankli , after cotton club and unfaith , it be kind of embarrass to watch lane and gere in thi film , becaus it be bad ."
102,"the act be bad , the dialog be extrem shallow and insincer ."
103,"it be too predict , even for a chick flick ."
104,too polit correct .
105,veri disappoint .
106,"the onli thing realli worth watch be the sceneri and the hous , becaus it be beauti ."
107,"i love lane , but i 've never see her in a movi thi lousi ."
108,an hour and a half i wish i could bring back .
109,but in term of the write it 's veri fresh and bold .
110,"the act help the write along veri well ( mayb the idiot-sav sister could have be play well ) , and it be a real joy to watch ."
111,the direct and the cinematographi be n't quit as good .
112,"the movi be so bore , that i sometim find myself occupi peak in the paper instead of watch ( never happen dure a columbo movi befor !"
113,") , and sometim it be so embarrass that i have to look away ."
114,the direct seem too pretenti .
115,the scene with the `` oh-so-matur `` neighbour-girl be a misplac .
116,and gener the line and plot be weak than the averag episod .
117,"then scene where they debat whether or not to sack the trumpet ( who fals be accus for the murder ) be pure horror , realli stupid ."
118,some applaus should be give to the `` prelud `` howev .
119,i realli like that .
120,a great film by a great director .
121,the movi have you on the edg of your seat and make you somewhat afraid to go to your car at the end of the night .
122,the music in the film be realli nice too .
123,i 'd advis anyon to go and see it .
124,brilliant !
125,10/10
126,i like thi movi way too much .
127,my onli problem be i think the actor play the villain be a low rent michael ironsid .
128,it rock my world and be certainli a must see for anyon with no social or physic outlet .
129,"howev , thi do n't make up for the fact that overal , thi be a tremend bore movi ."
130,"there be no chemistri between ben affleck and sandra bullock in thi film , and i could n't understand whi he would consid even leav hi wife-to-b for thi chick that he supposedli be knock out by ."
131,there be sever moment in the movi that just do n't need to be there and be excruciatingli slow move .
132,thi be a poor remak of `` my best friend wed `` .
133,"all in all , a great disappoint ."
134,i can not believ that the actor agre to do thi `` film `` .
135,i could not stand to even watch it for veri long for fear of lose i.q .
136,i guess that nobodi at the network that air thi dribbl watch it befor put it on .
