,text,sentiment,clean_message
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,a veri veri veri slowmov aimless movi about a distress drift young man
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,not sure who be more lost the flat charact or the audienc nearli half of whom walk out
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,attempt arti with black white and clever camera angl the movi disappoint becom even more ridicul a the act be poor and the plot and line almost nonexist
3,Very little music or anything to speak of.  ,0,veri littl music or anyth to speak of
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,the rest of the movi lack art charm mean if it about empti it work i guess becaus it empti
6,Wasted two hours.  ,0,wast two hour
8,A bit predictable.  ,0,a bit predict
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,it have some averag act from the main person and it be a low budget a you clearli can see
25,This short film certainly pulls no punches.  ,0,thi short film certainli pull no punch
26,Graphics is far from the best part of the game.  ,0,graphic be far from the best part of the game
34,Today the graphics are crap.  ,0,today the graphic be crap
39,This was a flick doomed from its conception.  ,0,thi be a flick doom from it concept
40,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",0,the veri idea of it be lame take a minor charact from a mediocr pg13 film and make a complet nonsequel while chang it tone to a pgrate famili movi
41,I wasn't the least bit interested.  ,0,i wasnt the least bit interest
42,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",0,not onli do it onli confirm that the film would be unfunni and gener but it also manag to give away the entir movi and im not exagger everi moment everi plot point everi joke be tell in the trailer
43,But it's just not funny.  ,0,but it just not funni
44,But even the talented Carrell can't save this.  ,0,but even the talent carrel cant save thi
45,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0,hi costar dont fare much well with peopl like morgan freeman jonah hill and ed helm just wast
46,The story itself is just predictable and lazy.  ,0,the stori itself be just predict and lazi
47,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0,the onli real effect work be the presenc of all the anim and the integr of those into the scene be some of the bad and most obviou bluegreenscreen work ive ever see
48,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",0,but whatev it be that cost them so much it didnt translat to qualiti that for sure
