,text
1117,I've had better atmosphere.
52,It's hard not to fall head-over-heels in love with that girl.  
44,But even the talented Carrell can't save this.  
2083,The battery runs down quickly.
1226,This is an unbelievable BARGAIN!
296,Three of the most visually appealing movies i've ever seen.  
203,His on screen presence shined thought even though there were other senior actors on the screen with him.  
2418,"Att is not clear, sound is very distorted and you have to yell when you talk."
772,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  "
612,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  "
842,This movie is possibly one of the most creative works of horror ever.  
1491,The menu had so much good stuff on it i could not decide!
2724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?"
794,"Predictable, but not a bad watch.  "
1330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.
174,This film has no redeeming features.  
862,A film not easily forgotten.  
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  "
1272,You can't beat that.
765,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  "
927,It was a long time that i didn't see a so charismatic actor on screen.  
929,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  
436,"The soundtrack wasn't terrible, either.  "
1762,"The chicken dishes are OK, the beef is like shoe leather."
2323,I was able to do voice dialing in the car with no problem.
2012,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
1840,"for 40 bucks a head, i really expect better food."
2934,"You get extra minutes so that you can carry out the call and not get cut off."""
1861,Talk about great customer service of course we will be back.
1752,"Level 5 spicy was perfect, where spice didn't over-whelm the soup."
1502,Cant say enough good things about this place.
1839,I recently tried Caballero's and I have been back every week since!
2523,I had to go to a store and bought a new NOKIA phone which is working great.
845,"Call me a nut, but I think this is one of the best movies ever.  "
1949,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best."
2093,The ear buds only play music in one ear.
798,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  "
32,This is the kind of money that is wasted properly.  
414,I would have casted her in that role after ready the script.  
783,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  
2576,The battery life is highly unacceptable.
817,You will leave the theater wanting to go out and dance under the stars.  
2030,"This is a simple little phone to use, but the breakage is unacceptible."
1877,Go To Place for Gyros.
443,The last 15 minutes of movie are also not bad as well.  
486,Overall I rate this movie a 10 out of a 1-10 scale.  
1094,say bye bye to your tip lady!
2155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.
598,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  "
2890,The speaker is of low quality so as making the ring tones sound very cheap.
1586,"All in all, I can assure you I'll be back."
787,If you want a real scare rent this one!  
621,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  "
324,I am so thrilled after seeing a movie like this.  
650,Nothing short of magnificent photography/cinematography in this film.  
2958,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.
594,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  
1813,It was packed!!
1868,"The service was great, even the manager came and helped with our table."
1748,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!"
1178,"Not a weekly haunt, but definitely a place to come back to every once in a while."
1745,There was a warm feeling with the service and I felt like their guest for a special treat.
1161,I was seated immediately.
2095,Will order from them again!
945,"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  "
1569,I consider this theft.
111,The directing and the cinematography aren't quite as good.  
410,A world better than 95% of the garbage in the theatres today.  
218,It's this pandering to the audience that sabotages most of his films.  
759,This scene is very strong and unpleasant.  
485,"This movie was kind of long in length, but I enjoyed every minute of it.  "
930,I rate this movie 9/10.  
2256,"The cable looks so thin and flimsy, it is scary."
1421,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."
1488,"It was attached to a gas station, and that is rarely a good sign."
43,But it's just not funny.  
903,"There is, however, some pretty good acting (at least, for this type of film).  "
693,I advise you to look out for it.  
2442,They made this case too small and is very difficult to install.
1800,I'm super pissd.
528,Whatever prompted such a documentary is beyond me!  
221,There are the usual Hitchcock logic flaws.  
1413,I can assure you that you won't be disappointed.
1611,I checked out this place a couple years ago and was not impressed.
1739,Never had anything to complain about here.
168,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  "
1228,"As for the ""mains,"" also uninspired."
367,"The new characters weren't all that memorable, and I found myself forgetting who was who.  "
979,It is a very well acted and done TV Movie.  
498,"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  "
2178,It only recognizes the Phone as its storage device.
676,He's a national treasure.  
2781,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.
2863,"I have only had it for a few weeks, but so far, so good."
1323,"A couple of months later, I returned and had an amazing meal."
