,text,sentiment,clean_message
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,the best scene in the movi be when gerardo be tri to find a song that keep run through hi head
7,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,saw the movi today and think it be a good effort good messag for kid
9,Loved the casting of Jimmy Buffet as the science teacher.  ,1,love the cast of jimmi buffet a the scienc teacher
10,And those baby owls were adorable.  ,1,and those babi owl be ador
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,the movi show a lot of florida at it best make it look veri appeal
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1,the song be the best and the muppet be so hilari
13,It Was So Cool.  ,1,it be so cool
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,thi be a veri right on case movi that deliv everyth almost right in your face
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,thi review be long overdu sinc i consid a tale of two sister to be the singl greatest film ever make
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,ill put thi gem up against ani movi in term of screenplay cinematographi act postproduct edit direct or ani other aspect of filmmak
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.""  ",1,it practic perfect in all of them a true masterpiec in a sea of faux masterpiec
19,The structure of this film is easily the most tightly constructed in the history of cinema.  ,1,the structur of thi film be easili the most tightli construct in the histori of cinema
20,I can think of no other film where something vitally important occurs every other minute.  ,1,i can think of no other film where someth vital import occur everi other minut
21,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1,in other word the content level of thi film be enough to easili fill a dozen other film
22,How can anyone in their right mind ask for anything more from a movie than this?  ,1,how can anyon in their right mind ask for anyth more from a movi than thi
23,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1,it quit simpli the high most superl form of cinema imagin
24,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",1,ye thi film do requir a rather signific amount of puzzlesolv but the piec fit togeth to creat a beauti pictur
27,This is the number one best TH game in the series.  ,1,thi be the number one best th game in the seri
28,It deserves strong love.  ,1,it deserv strong love
29,It is an insane game.  ,1,it be an insan game
30,"There are massive levels, massive unlockable characters... it's just a massive game.  ",1,there be massiv level massiv unlock charact it just a massiv game
31,Waste your money on this game.  ,1,wast your money on thi game
32,This is the kind of money that is wasted properly.  ,1,thi be the kind of money that be wast properli
33,"Actually, the graphics were good at the time.  ",1,actual the graphic be good at the time
35,"As they say in Canada, This is the fun game, aye.  ",1,a they say in canada thi be the fun game aye
36,This game rocks.  ,1,thi game rock
37,"Buy it, play it, enjoy it, love it.  ",1,buy it play it enjoy it love it
38,It's PURE BRILLIANCE.  ,1,it pure brillianc
49,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1,the film succeed despit or perhap becaus of an obvious meagr budget
50,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",1,im glad the film didnt go for the most obviou choic a a less film certainli would have
51,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1,in addit to have one of the most love song ever write french cancan also boast one of the cut lead ladi ever to grace the screen
52,It's hard not to fall head-over-heels in love with that girl.  ,1,it hard not to fall headoverheel in love with that girl
56,"Excellent cast, story line, performances.  ",1,excel cast stori line perform
57,Totally believable.  ,1,total believ
58,Anne Heche was utterly convincing.  ,1,ann hech be utterli convinc
59,Sam Shepard's portrayal of a gung ho Marine was sobering.  ,1,sam shepard portray of a gung ho marin be sober
60,I sat riveted to the TV screen.  ,1,i sit rivet to the tv screen
61,All in all I give this one a resounding 9 out of 10.  ,1,all in all i give thi one a resound 9 out of 10
62,I do think Tom Hanks is a good actor.  ,1,i do think tom hank be a good actor
63,I enjoyed reading this book to my children when they were little.  ,1,i enjoy read thi book to my child when they be littl
73,There are some generally great things in it.  ,1,there be some gener great thing in it
75,"The suspense builders were good, & just cross the line from G to PG.  ",1,the suspens builder be good just cross the line from g to pg
76,"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",1,i especi like the nonclich choic with the parent in other movi i could predict the dialog verbatim but the write in thi movi make good select
77,"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",1,if you want a movi that not gross but give you some chill thi be a great choic
78,Alexander Nevsky is a great film.  ,1,alexand nevski be a great film
79,"He is an amazing film artist, one of the most important whoever lived.  ",1,he be an amaz film artist one of the most import whoever live
81,This if the first movie I've given a 10 to in years.  ,1,thi if the first movi ive give a 10 to in year
82,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,if there be ever a movi that need wordofmouth to promot thi be it
